,name,latitude,longitude,city,region,cuisine,url,stars,min_price_EUR,max_price_EUR
620,Restaurant Sat Bains,52.924380000000006,-1.1733198,Nottingham,United Kingdom,Creative,https://guide.michelin.com/gb/en/nottingham/nottingham/restaurant/restaurant-sat-bains,2,110.24449908961253,156.66323554839676
621,Restaurant Nathan Outlaw,50.594086,-4.82854,Port Isaac,United Kingdom,Seafood,https://guide.michelin.com/gb/en/cornwall/port-isaac/restaurant/restaurant-nathan-outlaw,2,162.46557760574478,162.46557760574478
622,Belmond Le Manoir aux Quat' Saisons,51.71674,-1.0918700000000001,Great Milton,United Kingdom,French,https://guide.michelin.com/gb/en/oxfordshire/great-milton/restaurant/belmond-le-manoir-aux-quat-saisons,2,121.84918320430859,220.48899817922506
623,Midsummer House,52.21243,0.12779000000000001,Cambridge,United Kingdom,Modern cuisine,https://guide.michelin.com/gb/en/cambridgeshire/cambridge/restaurant/midsummer-house,2,58.02342057348028,156.66323554839676
624,Hand and Flowers,51.57031,-0.78113,Marlow,United Kingdom,Modern british,https://guide.michelin.com/gb/en/buckinghamshire/marlow/restaurant/hand-and-flowers,2,34.81405234408817,87.03513086022042
625,Ledbury,51.516740000000006,-0.20007,North Kensington,United Kingdom,Modern cuisine,https://guide.michelin.com/gb/en/greater-london/north-kensington/restaurant/ledbury,2,92.83747291756845,174.07026172044084
626,CORE by Clare Smyth,51.512609999999995,-0.2030516,North Kensington,United Kingdom,Modern british,https://guide.michelin.com/gb/en/greater-london/north-kensington/restaurant/core-by-clare-smyth,2,81.23278880287239,168.2679196630928
627,Le Gavroche,51.51127,-0.15517,Mayfair,United Kingdom,French,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/le-gavroche,2,81.23278880287239,208.884314064529
628,Kitchen Table at Bubbledogs,51.52041,-0.13647,Bloomsbury,United Kingdom,Modern cuisine,https://guide.michelin.com/gb/en/greater-london/bloomsbury/restaurant/kitchen-table-at-bubbledogs,2,174.07026172044084,174.07026172044084
629,Hélène Darroze at The Connaught,51.5101,-0.1495701,Mayfair,United Kingdom,Modern cuisine,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/helene-darroze-at-the-connaught,2,69.62810468817634,214.68665612187704
630,Dinner by Heston Blumenthal,51.50208,-0.16011,Hyde Park,United Kingdom,Traditional british,https://guide.michelin.com/gb/en/greater-london/hyde-park/restaurant/dinner-by-heston-blumenthal,2,52.22107851613225,121.84918320430859
631,Umu,51.5113,-0.14455,Mayfair,United Kingdom,Japanese,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/umu,2,58.02342057348028,232.09368229392112
632,Sketch (The Lecture Room & Library),51.51287,-0.14135999999999999,Mayfair,United Kingdom,Modern french,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/sketch-the-lecture-room-library,2,132.29339890753505,146.21901984517032
633,Greenhouse,51.507690000000004,-0.14926,Mayfair,United Kingdom,Creative,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/greenhouse69393,2,52.22107851613225,179.87260377778887
634,Claude Bosi at Bibendum,51.49341,-0.16908929999999997,Chelsea,United Kingdom,French,https://guide.michelin.com/gb/en/greater-london/chelsea/restaurant/claude-bosi-at-bibendum,2,75.43044674552436,214.68665612187704
635,Amador,48.254059999999996,16.35915,Wien,Austria,Creative,https://guide.michelin.com/at/en/vienna/wien/restaurant/amador,3,69.0,235.0
636,Manresa,37.22761,-121.98071000000002,South San Francisco,California,Contemporary,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/manresa,3,67.97258620283382,135.94517240566765
637,Benu,37.78521,-122.39876000000001,San Francisco,California,Asian,https://guide.michelin.com/us/en/california/san-francisco/restaurant/benu,3,67.97258620283382,135.94517240566765
638,Quince,37.79762,-122.40337,San Francisco,California,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/quince,3,67.97258620283382,135.94517240566765
639,Atelier Crenn,37.79835,-122.43586,San Francisco,California,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/atelier-crenn,3,67.97258620283382,135.94517240566765
